Action,Date,Ad Title/Id,Page/App
Impression,2025/09/17,750224684,marmiton.org
Impression,2025/09/17,830074116,marmiton.org
Impression,2025/09/17,833884853,marmiton.org
Impression,2025/09/17,834149203,marmiton.org
Impression,2025/09/19,630469114,marmiton.org
Impression,2025/09/19,630475604,marmiton.org
Impression,2025/09/19,837154823,marmiton.org
Impression,2025/09/22,766470204,actu.fr
Impression,2025/09/30,630493914,allocine.fr
Impression,2025/10/02,771493174,marmiton.org
Impression,2025/10/02,776738584,marmiton.org
Impression,2025/10/02,833884853,marmiton.org
Impression,2025/10/02,867747106,marmiton.org
Impression,2025/10/02,882173206,marmiton.org
Impression,2025/10/02,891758486,marmiton.org
Impression,2025/10/06,854611413,Citymapper
Impression,2025/10/09,630493954,20minutes.fr
Impression,2025/10/09,771512424,20minutes.fr
Impression,2025/10/09,854611413,20minutes.fr
Impression,2025/10/11,900020896,geo.fr
Impression,2025/10/13,630493954,20minutes.fr
Impression,2025/10/13,771710834,20minutes.fr
Impression,2025/10/16,855851174,lefigaro.fr
Impression,2025/10/18,630469114,Citymapper
Impression,2025/10/18,771661584,Citymapper
Impression,2025/10/22,770641853,sudouest.fr
Impression,2025/10/22,855710394,sudouest.fr
Impression,2025/10/23,855316314,lemonde.fr
Impression,2025/10/23,869342194,lemonde.fr
