Date,Link,Message
2024-11-08 07:56:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Carine merci! Quel beau message
2024-11-08 07:39:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Alexandre
2024-11-07 11:44:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Renaud ! J'en pense autant de toi: n'oublie pas que je suis aussi président honoraire de ton fan club 😉
2024-11-07 11:43:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Caroline
2024-11-07 11:42:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Nicolas ce message me va droit au cœur. Merci !
2024-11-07 08:48:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Fred !
2024-11-07 08:46:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Tu m'étonnes Robin ! Il me parle de toi plusieurs fois par jour... que dis-je ? par heure !
Mais sait-il combien de fois nous lui faisons des louanges par minute ?"
2024-11-07 08:44:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Stéphane !
2024-11-07 08:44:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Thank you Jing !
2024-11-07 08:42:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Julien. Et très content aussi !
2024-11-07 08:41:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Galil ! Nous trouverons ce succès ensemble ;)
2024-11-07 08:40:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Kais !
2024-11-07 08:40:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Isabelle !
2024-11-07 08:39:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci beaucoup pour ce message Jérôme !
2024-11-07 08:39:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Tack, Rachel ! Ton message me fait plaisir"
2024-11-07 08:37:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Merci Julien ! Oui, ce sera avec plaisir, en effet."
2024-11-07 08:37:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Marc ! Très gentil.
2024-11-07 08:36:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Hey ! Merci Chloé
2024-11-07 08:36:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Yeah ! Merci Frédéric
2024-11-07 08:36:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Thank you Silvia !
2024-11-07 08:35:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Patrick !
2024-11-07 08:35:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci David !
2024-11-07 08:35:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Merci Pascal ! Viva la procrastinacion ! Prends ton temps, le plaisir de te lire sera proportionnel à l'attente"
2024-11-07 08:33:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Chrystelle !
2024-11-07 08:33:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Très gentil de ta part Chris. Merci !
2024-11-07 08:32:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Merci Sophie ! De nombreuses occasions, en effet, et toujours avec plaisir."
2024-11-07 08:32:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Hé hé. Merci jean yves
2024-11-07 08:31:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Laurent !
2024-11-07 08:31:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Merci ! Eh, oui, tu as raison pour la mise en relation il y a ... quelques années. Donc 2 fois merci Maxime !"
2024-11-07 08:30:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Anne !
2024-11-07 08:30:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Arnaud !
2024-11-07 08:30:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Stan !
2024-11-07 08:29:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Olivier. Ce sera avec plaisir.
2024-11-07 08:29:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Oh! Merci Cedric. On se voit bientôt ?
2024-11-06 16:39:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Fabrice !
2024-11-06 16:37:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,"Merci, Benjamin ! Nous allons bien trouver un moment :)"
2024-11-06 16:30:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci vincent yeun !
2024-11-06 16:30:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Grégory Ott Ce n'est pas comme si nous avions arrêté de travailler ensemble tous les jours 😅
2024-11-06 16:29:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259952398482264065,Merci Olinôme !
2024-10-31 17:42:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7257807044827660288,"Moi, je veux le même selfie de la part de tous les orgas!"
2024-10-31 07:21:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257641664498872320,J'arrive! Vous m'avez tellement manqué hier...
2023-09-08 05:05:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7102577878696869888,Le temps du bridge 🌉/🃏. Merci pour toutes ces interventions!
2022-04-20 14:09:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6918946236184100864,"En plus d'être bons, vous êtes beaux !"
2022-04-06 14:41:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915971231636672512,Félicitations Stanislas
2022-03-26 09:08:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912699415031861248,Ça fait plaisir à voir !
2021-12-16 07:49:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6876077251042140161,Félicitations Agnès ! Très content que ce livre tant attendu voir enfin le jour.
2020-12-10 07:52:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741995481464881152,"Excellent ! 
Petite erreur je crois :  \"[...]elle se déroulera le vendredi 12 décembre[...]\" - on a le choix entre vendredi 11/12 et samedi 12/12 ? 😝"
2020-05-06 14:24:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6663719584241078273,"Idem, j'envisage même de plonger dans un Agile Fluency Facilitators’ Workshop pour tout dire ! :)"
2020-03-09 10:53:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6641759292003237888,"Merci à toi Alice, d'avoir répondu présente, et surtout d'avoir fait preuve d'une formidable écoute active durant les 2 jours !"
2020-01-31 06:49:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6627513189074509824,"Tu as raison. 
Je pense que je vais proposer des rôles de M. Loyal, Auguste, homme-canon, écuyer, équilibriste, mime, contre-pitre et jongleur à partir de maintenant. Au moins, mes clients arrêteront de se prendre trop au sérieux :)"
2019-10-30 11:27:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6594878100679471104,"OMG !
Félicitations 😁"
2019-10-08 09:05:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8616660225574460951,"Merci pour cet article. Ca fait du bien de faire ces rappels sur ces différences coach agile / coach et d'enrichir de ces apports sur le coaching d'équipe. D'autant que je trouve cela très concret et directement applicable pour tout praticien agile.
Attention toutefois à une sur-interprétation dans l'article:
Pourtant, dans le Scrum Guide, il est clairement dit: \"Même si nul part il est dit que l'aspect auto-organisation doit être assuré par le coach agile ou le scrum master\"
\"***Le Scrum Master au service de l’équipe de Développement***
Le Scrum Master sert l’équipe de Développement de plusieurs façons, y compris :
• Coacher l'équipe de développement en matière __d'auto-organisation__ et de pluridisciplinarité ; [...]\"
- Scrum Guide - https://www.scrumguides.org/docs/scrumguide/v2017/2017-Scrum-Guide-French.pdf
J'en profite pour souligner l'importance de se renseigner sur Scrum (la lecture de ce guide est un bon début) et l'esprit agile (http://agilemanifesto.org/) avant, pendant et tout au long de son immersion dans cet univers. De nombreux échecs constatés en Coaching pourraient être évités si au moins ces bases étaient connues dès les prémisses de la transformation et par chaque acteur impliqué par la suite. 20 pages pdf + 2 pages web peuvent être très rentables dans ce cas."
2018-06-01 15:56:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6408311427467141120,De rien. Merci d'accepter des approches différentes !
2018-03-30 18:48:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6384696036895522816,En espérant qu'il seront moins vaseux grâce à ça !
2018-03-30 18:46:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6384696036895522816,"Oui, c'était très rigolo... Très intéressant et nouveau pour moi aussi !"
2017-07-13 16:49:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6291238202392997888,Longue vie à cette nouvelle cuvée !
