Company Name,Role,Cause,Started On,Finished On,Description
Okiwi,Membre de l'équipe d'organisation Agile Tour,scienceAndTechnology,Apr 2012,,"Recherche d'orateurs, constitution d'un programme, communication et logistique événementielle."
Startup Weekend Bordeaux,Coach Agile,,Oct 2012,Oct 2012,Coaching des équipes Présentation d'un panorama de pratiques agiles Animation de jeux agiles
Ruby Bordeaux,Organisateur,,2011,2013,Co-création de l'événement Recherche de lieu d'accueil et publicité de lancement Quelques présentations
Agile Tour Bordeaux,Organisation (actif ou helper),scienceAndTechnology,Mar 2011,,
Collectif Quinconces,Co-fondateur,,Apr 2016,Jun 2018,"""On a toujours bien assez de temps lorsqu'on l'emploie bien"" - Wolfgang Von Goethe  Votre temps est votre principale ressource, quinze entrepreneurs vous aident à l’employer à son plus haut potentiel."
Lean Startup Bordeaux,Founder and Leader,,2012,2018,
