Login Date,IP Address,User Agent,Login Type
Wed Feb 07 11:36:44 UTC 2024,37.169.86.122,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.904 Google_Pixel 8:android_14,Login
Wed Oct 16 16:56:36 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,Login
Tue Oct 29 08:55:19 UTC 2024,37.170.57.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",Login
Sun Jan 05 11:31:16 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",Login
Sat Jun 28 12:39:01 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Tue Sep 09 08:34:53 UTC 2025,82.66.106.247,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0,Login
